clunky,native,type,category
The city was busy.,"The metropolis thrummed with a restless, electric energy.",Sentence,Atmosphere & Setting
The room was very cold.,A biting chill permeated every corner of the drafty chamber.,Sentence,Atmosphere & Setting
The forest was quiet.,"A heavy, expectant silence hung beneath the ancient canopy.",Sentence,Atmosphere & Setting
The sun was hot.,"The sun beat down with a relentless, sweltering intensity.",Sentence,Atmosphere & Setting
The street was crowded.,The thoroughfare was choked with a surging tide of humanity.,Sentence,Atmosphere & Setting
The house was old and scary.,"The manor stood in a state of elegant decay, cloaked in shadows.",Noun Phrase,Atmosphere & Setting
The air smelled like rain.,The earthy scent of petrichor rose from the parched pavement.,Noun Phrase,Atmosphere & Setting
The mountains were big.,Jagged peaks pierced the horizon like the teeth of a sleeping giant.,Sentence,Atmosphere & Setting
The night was dark.,An ink-black darkness swallowed the landscape whole.,Sentence,Atmosphere & Setting
He looked angry.,A storm of indignation brewed behind his narrowed eyes.,Sentence,Character Descriptions
She was very beautiful.,She possessed a luminous grace that seemed to command the very air around her.,Sentence,Character Descriptions
He moved quickly.,He vanished into the shadows with the fluid ease of a predator.,Verb Phrase,Action & Movement
The ocean was loud.,The rhythmic roar of the surf battered the shoreline with tireless fury.,Sentence,Atmosphere & Setting
She felt sad.,A hollow ache took up residence in the center of her chest.,Sentence,Inner Monologue & Emotion
The fire was bright.,"Amber flames danced and spat, casting long, flickering shadows against the hearth.",Sentence,Atmosphere & Setting
The crescendo looked radiant.,"The crescendo whispered through the air, cloaked in a radiant light.",Creative Prose,Dialogue & Speech
The void looked visceral.,"The void echoed through the air, cloaked in a visceral light.",Creative Prose,Character Descriptions
The silhouette looked timeless.,"The silhouette shimmered through the air, cloaked in a timeless light.",Creative Prose,Character Descriptions
The silhouette looked vivid.,"The silhouette dissolved through the air, cloaked in a vivid light.",Creative Prose,Dialogue & Speech
The horizon looked melancholy.,"The horizon cascaded through the air, cloaked in a melancholy light.",Creative Prose,Atmosphere & Setting
The mirage looked timeless.,"The mirage ignited through the air, cloaked in a timeless light.",Creative Prose,Atmosphere & Setting
The tapestry looked ethereal.,"The tapestry shimmered through the air, cloaked in a ethereal light.",Creative Prose,Action & Movement
The crescendo looked radiant.,"The crescendo loomed through the air, cloaked in a radiant light.",Creative Prose,Character Descriptions
The silhouette looked vivid.,"The silhouette dissolved through the air, cloaked in a vivid light.",Creative Prose,Action & Movement
The horizon looked timeless.,"The horizon entwined through the air, cloaked in a timeless light.",Creative Prose,Dialogue & Speech
The silhouette looked haunting.,"The silhouette echoed through the air, cloaked in a haunting light.",Creative Prose,Inner Monologue & Emotion
The labyrinth looked sublime.,"The labyrinth pulsated through the air, cloaked in a sublime light.",Creative Prose,Character Descriptions
The legacy looked timeless.,"The legacy shimmered through the air, cloaked in a timeless light.",Creative Prose,Sensory Details
The crescendo looked ominous.,"The crescendo entwined through the air, cloaked in a ominous light.",Creative Prose,Character Descriptions
The mirage looked melancholy.,"The mirage pulsated through the air, cloaked in a melancholy light.",Creative Prose,Sensory Details
The crescendo looked timeless.,"The crescendo loomed through the air, cloaked in a timeless light.",Creative Prose,Inner Monologue & Emotion
The sanctuary looked radiant.,"The sanctuary cascaded through the air, cloaked in a radiant light.",Creative Prose,Dialogue & Speech
The crescendo looked timeless.,"The crescendo cascaded through the air, cloaked in a timeless light.",Creative Prose,Dialogue & Speech
The void looked melancholy.,"The void dissolved through the air, cloaked in a melancholy light.",Creative Prose,Character Descriptions
The void looked timeless.,"The void dissolved through the air, cloaked in a timeless light.",Creative Prose,Inner Monologue & Emotion
The mirage looked ominous.,"The mirage ignited through the air, cloaked in a ominous light.",Creative Prose,Atmosphere & Setting
The legacy looked vivid.,"The legacy echoed through the air, cloaked in a vivid light.",Creative Prose,Sensory Details
The abyss looked ethereal.,"The abyss loomed through the air, cloaked in a ethereal light.",Creative Prose,Atmosphere & Setting
The silhouette looked melancholy.,"The silhouette entwined through the air, cloaked in a melancholy light.",Creative Prose,Action & Movement
The crescendo looked ominous.,"The crescendo dissolved through the air, cloaked in a ominous light.",Creative Prose,Dialogue & Speech
The mirage looked vivid.,"The mirage fractured through the air, cloaked in a vivid light.",Creative Prose,Dialogue & Speech
The legacy looked timeless.,"The legacy loomed through the air, cloaked in a timeless light.",Creative Prose,Character Descriptions
The void looked timeless.,"The void cascaded through the air, cloaked in a timeless light.",Creative Prose,Character Descriptions
The tapestry looked ominous.,"The tapestry echoed through the air, cloaked in a ominous light.",Creative Prose,Inner Monologue & Emotion
The sanctuary looked melancholy.,"The sanctuary ignited through the air, cloaked in a melancholy light.",Creative Prose,Character Descriptions
The void looked haunting.,"The void pulsated through the air, cloaked in a haunting light.",Creative Prose,Inner Monologue & Emotion
The mirage looked fragmented.,"The mirage loomed through the air, cloaked in a fragmented light.",Creative Prose,Action & Movement
The crescendo looked fragmented.,"The crescendo echoed through the air, cloaked in a fragmented light.",Creative Prose,Action & Movement
The labyrinth looked ominous.,"The labyrinth whispered through the air, cloaked in a ominous light.",Creative Prose,Character Descriptions
The silhouette looked haunting.,"The silhouette echoed through the air, cloaked in a haunting light.",Creative Prose,Atmosphere & Setting
The mirage looked ethereal.,"The mirage shimmered through the air, cloaked in a ethereal light.",Creative Prose,Dialogue & Speech
The mirage looked sublime.,"The mirage pulsated through the air, cloaked in a sublime light.",Creative Prose,Character Descriptions
The void looked haunting.,"The void entwined through the air, cloaked in a haunting light.",Creative Prose,Atmosphere & Setting
The crescendo looked haunting.,"The crescendo entwined through the air, cloaked in a haunting light.",Creative Prose,Action & Movement
The void looked sublime.,"The void fractured through the air, cloaked in a sublime light.",Creative Prose,Inner Monologue & Emotion
