clunky,native,type
I forgot to do it.,It slipped my mind.,Idiom
I will visit your house later.,I'll swing by later.,Phrasal Verb
It is not a big problem.,It's no biggie.,Idiom
I am very busy today.,I've got a lot on my plate.,Idiom
I don't understand.,I don't get it.,Phrasal Verb
Wait for a short time.,Hang on a sec.,Phrasal Verb
I think you are right.,I'm with you on that.,Collocation
Decide what you want.,Make up your mind.,Phrasal Verb
I am very tired.,I'm worn out.,Phrasal Verb
It was a mistake.,I messed up.,Phrasal Verb
I will try to do it.,I'll give it a go.,Collocation
That is very easy.,It's a piece of cake.,Idiom
To start from the beginning.,To start from scratch.,Idiom
I understand what you mean.,I see where you're coming from.,Collocation
I am listening to you.,I'm all ears.,Idiom
That is a very good idea.,Now you're talking!,Idiom
I don't have enough money.,I'm a bit short on cash.,Collocation
It's time to go to bed.,Time to hit the sack.,Idiom
I can't remember the word.,It's on the tip of my tongue.,Idiom
He is very similar to his father.,He takes after his father.,Phrasal Verb
Stop being so annoying.,Give it a rest.,Idiom
I am very happy for you.,I'm thrilled for you.,Collocation
We should meet and talk.,We should catch up.,Phrasal Verb
It depends on the situation.,It remains to be seen.,Collocation
I didn't mean to hurt you.,I didn't mean any harm.,Collocation
I am not sure about it.,I'm on the fence.,Idiom
Do it very quickly.,In no time.,Idiom
Tell me the news.,Fill me in.,Phrasal Verb
I will do it eventually.,I'll get around to it.,Phrasal Verb
It is expensive.,It costs a pretty penny.,Idiom
I am very hungry.,I'm starving.,Collocation
I am slightly busy.,I've got stuff going on.,Collocation
I am not interested.,I'm not into it.,Collocation
I fully agree.,Couldn't agree more.,Idiom
I will think about it later.,I'll sleep on it.,Idiom
Do not worry about it.,No worries.,Collocation
I arrived late.,I got held up.,Phrasal Verb
It is your decision.,It's up to you.,Collocation
I am very confused.,I'm totally lost.,Idiom
Let us leave now.,Let's head out.,Phrasal Verb
Please relax.,Take it easy.,Idiom
I finished everything.,I'm all done.,Collocation
I understand now.,I've got it now.,Collocation
That surprised me.,I didn't see that coming.,Idiom
I doubt it will happen.,I'm not holding my breath.,Idiom
I will pay attention.,I'll keep an eye on it.,Idiom
Please wait patiently.,Bear with me.,Phrasal Verb
I agree with the plan.,I'm on board.,Idiom
